Date,Spot,Index
06-Aug-10,2820.55,Mid Cap 50
06-Aug-10,5439.25,Nifty
06-Aug-10,5416.2,Nifty 100
06-Aug-10,2868.57,Nifty 200
06-Aug-10,4539.85,Nifty 500
06-Aug-10,7279.07,Nifty EQW
06-Aug-10,6802.05,Nifty TRI
06-Aug-10,4149.93,Pharma
06-Aug-10,453.35,Realty
06-Aug-10,3949.44,Small Cap
06-Aug-10,17.37,VIX
13-Aug-10,3653.14,Auto
13-Aug-10,10737.35,Bank
13-Aug-10,9328.08,Energy
13-Aug-10,4332.04,Finance
13-Aug-10,8567.47,FMCG
13-Aug-10,18.173,GoldBees
13-Aug-10,3477.95,Infra
13-Aug-10,6116.7,IT
13-Aug-10,11883.8,Nifty Next 50
13-Aug-10,1828.86,Media
13-Aug-10,4198.87,Metal
13-Aug-10,8710.55,Mid Cap
13-Aug-10,2834,Mid Cap 50
13-Aug-10,5452.1,Nifty
13-Aug-10,5442,Nifty 100
13-Aug-10,2883.49,Nifty 200
13-Aug-10,4576.4,Nifty 500
13-Aug-10,7329.8,Nifty EQW
13-Aug-10,6819.78,Nifty TRI
13-Aug-10,4095.64,Pharma
13-Aug-10,483.25,Realty
13-Aug-10,4041.76,Small Cap
13-Aug-10,16.74,VIX
20-Aug-10,3702.55,Auto
20-Aug-10,11033.75,Bank
20-Aug-10,9329.02,Energy
20-Aug-10,4468.79,Finance
20-Aug-10,8785.7,FMCG
20-Aug-10,18.357,GoldBees
20-Aug-10,3468.05,Infra
20-Aug-10,6128.6,IT
20-Aug-10,12105.7,Nifty Next 50
20-Aug-10,1845.35,Media
20-Aug-10,4225.25,Metal
20-Aug-10,8930.85,Mid Cap
20-Aug-10,2891.55,Mid Cap 50
20-Aug-10,5530.65,Nifty
20-Aug-10,5524.25,Nifty 100
20-Aug-10,2928.66,Nifty 200
20-Aug-10,4629.55,Nifty 500
20-Aug-10,7398.66,Nifty EQW
20-Aug-10,6921.44,Nifty TRI
20-Aug-10,4191.2,Pharma
20-Aug-10,485.45,Realty
